country,iso_code,year,hdi,suicide_rate,gdp_per_capita,log_gdp_per_capita,income_group,continent,data_quality_score,development_category,suicide_category,hdi_change_5yr,suicide_change_5yr,gdp_percentile,progress_paradox,regional_hdi_avg,regional_suicide_avg
Afghanistan,AFG,2010,0.449,3.615,485.022544338633,6.184195373029613,Low,Asia,1,Low Development,Low Suicide Rate,,,0.026455026455026454,0,0.70825,6.558191489361703
Afghanistan,AFG,2019,0.492,3.615,485.022544338633,6.184195373029613,Low,Asia,1,Low Development,Low Suicide Rate,,,0.02631578947368421,0,0.7496458333333332,6.599042553191489
Afghanistan,AFG,2020,0.488,3.63,485.022544338633,6.184195373029613,Low,Asia,0,Low Development,Low Suicide Rate,,,0.031413612565445025,0,0.7446666666666667,6.541276595744681
Afghanistan,AFG,2021,0.473,3.6,485.022544338633,6.184195373029613,Low,Asia,0,Low Development,Low Suicide Rate,,,0.031413612565445025,0,0.7436250000000001,6.5342553191489365
Afghanistan,AFG,2022,0.462,3.615,485.022544338633,6.184195373029613,Low,Asia,1,Low Development,Low Suicide Rate,,,0.031413612565445025,0,0.7487291666666667,6.558191489361703
Afghanistan,AFG,2023,0.496,3.615,485.022544338633,6.184195373029613,Low,Asia,1,Low Development,Low Suicide Rate,0.046999999999999986,0.0,0.031413612565445025,0,0.7632708333333333,6.558191489361703
Angola,AGO,2010,0.516,6.925000000000001,2528.2065526619567,7.835265457887051,Lower-Middle,Africa,1,Low Development,Medium Suicide Rate,,,0.291005291005291,0,0.5149807692307692,7.478653846153846
Angola,AGO,2019,0.597,6.925000000000001,2528.2065526619567,7.835265457887051,Lower-Middle,Africa,1,Medium Development,Medium Suicide Rate,,,0.2894736842105263,0,0.5610192307692308,7.478653846153846
Angola,AGO,2020,0.594,6.9,2528.2065526619567,7.835265457887051,Lower-Middle,Africa,0,Medium Development,Medium Suicide Rate,,,0.2931937172774869,0,0.5547735849056603,7.477358490566038
Angola,AGO,2021,0.59,6.95,2528.2065526619567,7.835265457887051,Lower-Middle,Africa,0,Medium Development,Medium Suicide Rate,,,0.2931937172774869,0,0.5528867924528302,7.417169811320755
Angola,AGO,2022,0.591,6.925000000000001,2528.2065526619567,7.835265457887051,Lower-Middle,Africa,1,Medium Development,Medium Suicide Rate,,,0.2931937172774869,0,0.5560377358490566,7.447264150943396
Angola,AGO,2023,0.616,6.925000000000001,2528.2065526619567,7.835265457887051,Lower-Middle,Africa,1,Medium Development,Medium Suicide Rate,0.09999999999999998,0.0,0.2931937172774869,0,0.578,7.447264150943396
Albania,ALB,2010,0.766,4.06,4702.593150952894,8.455869369794069,Lower-Middle,Europe,1,High Development,Low Suicide Rate,,,0.4497354497354497,0,0.8549268292682927,13.051958333333335
Albania,ALB,2019,0.8,4.06,4702.593150952894,8.455869369794069,Lower-Middle,Europe,1,Very High Development,Low Suicide Rate,,,0.4473684210526316,0,0.8826341463414634,13.035874999999999
Albania,ALB,2020,0.784,4.02,4702.593150952894,8.455869369794069,Lower-Middle,Europe,0,High Development,Low Suicide Rate,,,0.450261780104712,0,0.8761219512195122,13.10725
Albania,ALB,2021,0.785,4.1,4702.593150952894,8.455869369794069,Lower-Middle,Europe,0,High Development,Low Suicide Rate,,,0.450261780104712,0,0.8782682926829268,13.012749999999999
Albania,ALB,2022,0.789,4.06,4702.593150952894,8.455869369794069,Lower-Middle,Europe,1,High Development,Low Suicide Rate,,,0.450261780104712,0,0.8828292682926828,13.051958333333335
Albania,ALB,2023,0.81,4.06,4702.593150952894,8.455869369794069,Lower-Middle,Europe,1,Very High Development,Low Suicide Rate,0.04400000000000004,0.0,0.450261780104712,0,0.8983658536585365,13.051958333333335
Andorra,AND,2010,0.863,7.904999999999999,37966.89712292873,10.544469930711744,High,Europe,2,Very High Development,Medium Suicide Rate,,,0.8783068783068783,1,0.8549268292682927,13.051958333333335
Andorra,AND,2019,0.865,7.904999999999999,37966.89712292873,10.544469930711744,High,Europe,2,Very High Development,Medium Suicide Rate,,,0.8789473684210526,1,0.8826341463414634,13.035874999999999
Andorra,AND,2020,0.843,7.92,37966.89712292873,10.544469930711744,High,Europe,1,Very High Development,Medium Suicide Rate,,,0.8795811518324608,1,0.8761219512195122,13.10725
Andorra,AND,2021,0.855,7.89,37966.89712292873,10.544469930711744,High,Europe,1,Very High Development,Medium Suicide Rate,,,0.8795811518324608,1,0.8782682926829268,13.012749999999999
Andorra,AND,2022,0.884,7.904999999999999,37966.89712292873,10.544469930711744,High,Europe,2,Very High Development,Medium Suicide Rate,,,0.8795811518324608,1,0.8828292682926828,13.051958333333335
Andorra,AND,2023,0.913,7.904999999999999,37966.89712292873,10.544469930711744,High,Europe,2,Very High Development,Medium Suicide Rate,0.050000000000000044,0.0,0.8795811518324608,1,0.8983658536585365,13.051958333333335
United Arab Emirates,ARE,2010,0.828,2.5300000000000002,42124.56343493583,10.648386304038606,High,Asia,1,Very High Development,Low Suicide Rate,,,0.8941798941798942,0,0.70825,6.558191489361703
United Arab Emirates,ARE,2019,0.933,2.5300000000000002,42124.56343493583,10.648386304038606,High,Asia,1,Very High Development,Low Suicide Rate,,,0.8947368421052632,0,0.7496458333333332,6.599042553191489
United Arab Emirates,ARE,2020,0.93,2.69,42124.56343493583,10.648386304038606,High,Asia,0,Very High Development,Low Suicide Rate,,,0.8952879581151832,0,0.7446666666666667,6.541276595744681
United Arab Emirates,ARE,2021,0.931,2.37,42124.56343493583,10.648386304038606,High,Asia,0,Very High Development,Low Suicide Rate,,,0.8952879581151832,0,0.7436250000000001,6.5342553191489365
United Arab Emirates,ARE,2022,0.937,2.5300000000000002,42124.56343493583,10.648386304038606,High,Asia,1,Very High Development,Low Suicide Rate,,,0.8952879581151832,0,0.7487291666666667,6.558191489361703
United Arab Emirates,ARE,2023,0.94,2.5300000000000002,42124.56343493583,10.648386304038606,High,Asia,1,Very High Development,Low Suicide Rate,0.11199999999999999,0.0,0.8952879581151832,0,0.7632708333333333,6.558191489361703
Argentina,ARG,2010,0.834,10.74,12577.970303337312,9.439702174100288,Upper-Middle,America,1,Very High Development,High Suicide Rate,,,0.6772486772486772,1,0.7357142857142858,8.610761904761905
Argentina,ARG,2019,0.853,10.74,12577.970303337312,9.439702174100288,Upper-Middle,America,1,Very High Development,High Suicide Rate,,,0.6789473684210526,1,0.7643142857142857,8.798
Argentina,ARG,2020,0.841,11.01,12577.970303337312,9.439702174100288,Upper-Middle,America,0,Very High Development,High Suicide Rate,,,0.680628272251309,1,0.7560857142857144,8.526000000000002
Argentina,ARG,2021,0.844,10.47,12577.970303337312,9.439702174100288,Upper-Middle,America,0,Very High Development,High Suicide Rate,,,0.680628272251309,1,0.7537142857142857,8.508285714285714
Argentina,ARG,2022,0.849,10.74,12577.970303337312,9.439702174100288,Upper-Middle,America,1,Very High Development,High Suicide Rate,,,0.680628272251309,1,0.7609714285714286,8.610761904761905
Argentina,ARG,2023,0.865,10.74,12577.970303337312,9.439702174100288,Upper-Middle,America,1,Very High Development,High Suicide Rate,0.031000000000000028,0.0,0.680628272251309,1,0.7781428571428571,8.610761904761905
